北の純米酒,北の純米酒 （きたのじゅんまいしゅ）,北海道,,金滴酒造,3.01点,( 2件 )
きたしずく,きたしずく （きたしずく）,北海道,,金滴酒造,3.01点,( 2件 )
神威鶴,神威鶴 （かむいつる）,北海道,,田中酒造,3.01点,( 2件 )
しれとこの水,しれとこの水 （しれとこのみず）,北海道,,金滴酒造,3.01点,( 2件 )
雪中花,雪中花 （せっちゅうか）,北海道,,山二わたなべ,3.01点,( 1件 )
金滴彗星,金滴彗星 （きんてきすいせい）,北海道,,金滴酒造,3.01点,( 1件 )
ポンエペレ,ポンエペレ （ぽんえぺれ）,北海道,,福司酒造,3.01点,( 1件 )
栗山英樹,栗山英樹 （くりやまひでき）,北海道,,小林酒造,3.01点,( 1件 )
洞爺物語,洞爺物語 （とうやものがたり）,北海道,,雪の花酒造,3.01点,( 1件 )
黒松髙砂,黒松髙砂 （くろまつたかさご）,北海道,,高砂酒造,3.01点,( 1件 )
高砂86,高砂86 （たかさごはちろく）,北海道,,高砂酒造,3.01点,( 1件 )
小樽吟醸,小樽吟醸 （おたるぎんじょう）,北海道,,田中酒造,3.01点,
花華,花華 （はなはな）,北海道,,福司酒造,3.00点,( 2件 )
渡里酉,渡里酉 （わたりどり）,北海道,,小林酒造,3.00点,( 2件 )
雪氷室 一夜雫,雪氷室 一夜雫 （ゆきひむろ いちやしずく）,北海道,,高砂酒造,3.00点,( 1件 )
北酔,北酔 （ほくすい）,北海道,,國稀酒造,3.00点,( 1件 )
君が袖,君が袖 （きみがそで）,北海道,,金滴酒造,3.00点,( 1件 )
神威岬,神威岬 （かむいみさき）,北海道,,二世古酒造,3.00点,
ピリカの初恋,ピリカの初恋 （ぴりかのはつこい）,北海道,,二世古酒造,3.00点,
絆の花,絆の花 （きずなのはな）,北海道,,金滴酒造,3.00点,
北のろまん,北のろまん （きたのろまん）,北海道,,小林酒造,2.99点,( 1件 )
元禄美人,元禄美人 （げんろくびじん）,北海道,,合同酒精,2.99点,( 1件 )
熊古露里,熊古露里 （くまころり）,北海道,,山二わたなべ,2.99点,
丹水,丹水 （たんすい）,北海道,,二世古酒造,2.99点,
北の誉,北の誉 （きたのほまれ）,北海道,,北の誉酒造,2.98点,( 11件 )
侍,侍 （さむらい）,北海道,,北の誉酒造,2.98点,( 2件 )
ひとと、ひととき,ひとと、ひととき （ひとと、ひととき）,北海道,,小林酒造,,( 1件 )
小樽港,小樽港 （おたるこう）,北海道,,雪の花酒造,,
雪の花,雪の花 （ゆきのはな）,北海道,,雪の花酒造,,
北宝,北宝 （きたたから）,北海道,,山二わたなべ,,
栄光摩周,栄光摩周 （えいこうましゅう）,北海道,,山田酒造,,
小樽の女,小樽の女 （おたるのひと）,北海道,,山二わたなべ,,
冬凪,冬凪 （ふゆなぎ）,北海道,,金滴酒造,,
神招,神招 （かみまねき）,北海道,,田中酒造,,
芙蓉,芙蓉 （ふよう）,北海道,,田中酒造,,
弓取,弓取 （ゆみとり）,北海道,,田中酒造,,
蝦夷金壽,蝦夷金壽 （えぞきんじゅ）,北海道,,金滴酒造,,
雪中美人,雪中美人 （せっちゅうびじん）,北海道,,高砂酒造,,
百夜小町,百夜小町 （ももよこまち）,北海道,,高砂酒造,,
雄冬,雄冬 （おふゆ）,北海道,,北の誉酒造,,
北の一番蔵,北の一番蔵 （きたのいちばんくら）,北海道,,北の誉酒造,,
マメホマレ,マメホマレ （まめほまれ）,北海道,,北の誉酒造,,
東川米,東川米 （ひがしかわまい）,北海道,,北の誉酒造,,
群来,群来 （くき）,北海道,,北の誉酒造,,
ポプラ並木,ポプラ並木 （ぽぷらなみき）,北海道,,日本清酒,,
蔵,蔵 （くら）,北海道,,日本清酒,,
雪梟,雪梟 （ゆきふくろう）,北海道,,小林酒造,,
北じまん,北じまん （きたじまん）,北海道,,國稀酒造,,
万太郎,万太郎 （まんたろう）,北海道,,二世古酒造,,
倶知安,倶知安 （くっちゃん）,北海道,,二世古酒造,,
げんき村,げんき村 （げんきむら）,北海道,,二世古酒造,,
一己,一己 （いちやん）,北海道,,二世古酒造,,
安政浪漫,安政浪漫 （あんせいろまん）,北海道,,二世古酒造,,
蓮山,蓮山 （れんざん）,北海道,,二世古酒造,,
秋月,秋月 （しゅうげつ）,北海道,,田中酒造,,
霧笛,霧笛 （むてき）,北海道,,福司酒造,,
北輝光,北輝光 （ほっきこう）,北海道,,福司酒造,,
北育ち,北育ち （きたそだち）,北海道,,日本清酒,,
すすきの美人,すすきの美人 （すすきのびじん）,北海道,,日本清酒,,
北世界,北世界 （きたせかい）,北海道,,日本清酒,,
あつま川,あつま川 （あつまがわ）,北海道,,金滴酒造,,
忠,忠 （なかごころ）,北海道,,二世古酒造,,
田酒,田酒 （でんしゅ）,青森,1位,西田酒造店,4.22点,( 3809件 )
陸奥八仙,陸奥八仙 （むつはっせん）,青森,2位,八戸酒造,4.04点,( 1399件 )
豊盃,豊盃 （ほうはい）,青森,2位,三浦酒造店,4.04点,( 1005件 )
善知鳥,善知鳥 （うとう）,青森,4位,西田酒造店,3.74点,( 66件 )
鳩正宗,鳩正宗 （はとまさむね）,青森,5位,鳩正宗,3.72点,( 230件 )
陸奥男山,陸奥男山 （むつおとこやま）,青森,6位,八戸酒造,3.61点,( 121件 )
どぶろっく,どぶろっく （どぶろっく）,青森,7位,八戸酒造,3.60点,( 56件 )
喜久泉,喜久泉 （きくいずみ）,青森,8位,西田酒造店,3.53点,( 126件 )
六根,六根 （ろっこん）,青森,9位,株式会社松緑酒造,3.49点,( 146件 )
如空,如空 （じょくう）,青森,10位,八戸酒類 五戸工場,3.40点,( 103件 )
外ヶ濱,外ヶ濱 （そとがはま）,青森,11位,西田酒造店,3.39点,( 52件 )
じょっぱり,じょっぱり （じょっぱり）,青森,12位,六花酒造,3.35点,( 72件 )
桃川,桃川 （ももかわ）,青森,13位,桃川,3.34点,( 153件 )
華一風,華一風 （はないっぷう）,青森,13位,カネタ玉田酒造,3.34点,( 31件 )
稲村屋,稲村屋 （いなむらや）,青森,15位,鳴海醸造店,3.33点,( 39件 )
八鶴,八鶴 （はちつる）,青森,16位,八戸酒類　八鶴工場,3.29点,( 36件 )
鯵ヶ澤,鯵ヶ澤 （あじがさわ）,青森,17位,尾崎酒造,3.26点,( 23件 )
七郎兵衛,七郎兵衛 （しちろべえ）,青森,18位,竹浪酒造店,3.23点,( 28件 )
安東水軍,安東水軍 （あんどうすいぐん）,青森,19位,尾崎酒造,3.22点,( 38件 )
モヒカン娘,モヒカン娘 （もひかんむすめ）,青森,20位,三浦酒造店,3.21点,( 29件 )
七力,七力 （しちりき）,青森,20位,盛田庄兵衛,3.21点,( 21件 )
